user_id,event_date_time,,,,,,IDs
19,1535308430,,1,20,,,380617
16,1535308433,,,,,,411846
4,1535308444,,,,,,740186
3,1535308475,,,,,,56662
6,1535308476,,,,,,856186
1,1535308477,,,,,,79728
18,1535324978,,,,,,651316
2,1535406024,,,,,,497754
15,1535392633,,,,,,35962
2,1535377270,,,,,,688036
4,1535362363,,,,,,39159
14,1535309657,,,,,,924703
3,1535379571,,,,,,209118
8,1535384502,,,,,,721556
10,1535405694,,,,,,773959
13,1535338707,,,,,,148702
13,1535338817,,,,,,725267
3,1535354860,,,,,,887946
19,1535347161,,,,,,873074
15,1535367878,,,,,,158905
14,1535365362,,,,,,119820
15,1535350630,,,,,,640695
3,1535377776,,,,,,139204
1,1535315527,,,,,,442230
5,1535346378,,,,,,328784
19,1535318357,,,,,,50447
19,1535319617,,,,,,
4,1535399264,,,,,,
1,1535327037,,,,,,
10,1535338878,,,,,,
8,1535349669,,,,,,
10,1535335387,,,,,,
15,1535392973,,,,,,
2,1535331581,,,,,,
17,1535345165,,,,,,
6,1535395441,,,,,,
6,1535404580,,,,,,
17,1535310025,,,,,,
16,1535313569,,,,,,
6,1535379793,,,,,,
7,1535359467,,,,,,
3,1535352962,,,,,,
7,1535344336,,,,,,
9,1535380296,,,,,,
15,1535391096,,,,,,
4,1535337287,,,,,,
9,1535334071,,,,,,
20,1535381969,,,,,,
8,1535334039,,,,,,
6,1535377638,,,,,,
8,1535391928,,,,,,
6,1535397060,,,,,,
7,1535399233,,,,,,
10,1535331077,,,,,,
17,1535327879,,,,,,
3,1535333952,,,,,,
17,1535406258,,,,,,
19,1535354736,,,,,,
2,1535362889,,,,,,
13,1535378081,,,,,,
14,1535313876,,,,,,
8,1535349291,,,,,,
11,1535377128,,,,,,
6,1535402351,,,,,,
1,1535374963,,,,,,
17,1535381782,,,,,,
9,1535329978,,,,,,
6,1535330504,,,,,,
5,1535317415,,,,,,
16,1535357580,,,,,,
15,1535343917,,,,,,
4,1535348486,,,,,,
7,1535318766,,,,,,
9,1535403184,,,,,,
10,1535343306,,,,,,
13,1535396042,,,,,,
5,1535398945,,,,,,
15,1535329045,,,,,,
10,1535378612,,,,,,
4,1535373610,,,,,,
6,1535403019,,,,,,
7,1535364771,,,,,,
3,1535346815,,,,,,
8,1535368067,,,,,,
16,1535383700,,,,,,
11,1535397836,,,,,,
6,1535339524,,,,,,
13,1535334906,,,,,,
5,1535322055,,,,,,
8,1535401300,,,,,,
6,1535311774,,,,,,
16,1535374199,,,,,,
13,1535344065,,,,,,
14,1535406078,,,,,,
2,1535366503,,,,,,
4,1535402974,,,,,,
19,1535400552,,,,,,
19,1535358924,,,,,,
